Validating models...

0 errors found
April 03, 2014 - 23:08:03
Django version 1.6.2, using settings 'iD_django.settings'
Starting development server at http://0.0.0.0:8081/
Quit the server with CONTROL-C.
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/delete_multiple.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/delete_node.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/delete_way.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/delete_relation.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/disconnect.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/join.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/merge.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/move_node.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/move.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/rotate_way.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/circularize.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/orthogonalize.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/noop.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/reverse.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/behavior/add_way.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/behavior.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/actions/split.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/behavior/accept.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/behavior/drag.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/behavior/draw.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/behavior/lasso.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/behavior/hash.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/behavior/draw_way.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/behavior/hover.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/behavior/select.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/modes.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/modes/add_area.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/modes/add_line.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:26] "GET /static/js/id/modes/add_point.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/modes/browse.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/modes/drag_node.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/modes/draw_area.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/modes/rotate_way.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/modes/move.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/modes/draw_line.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/modes/select.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/operations/circularize.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/operations.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/operations/orthogonalize.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/operations/delete.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/operations/disconnect.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/operations/merge.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/operations/move.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/operations/rotate.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/operations/reverse.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/operations/split.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/core/connection.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/core/entity.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/core/difference.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/core/graph.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/core/history.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/core/node.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/core/relation.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/core/way.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/core/tree.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/presets.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/presets/preset.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/presets/category.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/presets/collection.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:27] "GET /static/js/id/presets/field.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/js/id/validate.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/js/lib/locale.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/introGraph.js HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/deprecated.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/discarded.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/imagery.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/wikipedia.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/presets/defaults.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/presets/presets.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/presets/categories.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/presets/fields.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/imperial.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/feature-icons.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/locales.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/data/operations-sprite.json HTTP/1.1" 304 0
[03/Apr/2014 23:08:28] "GET /static/dist/locales/en.json HTTP/1.1" 304 0
